acct_nbr,acct_nm,level_1,level_2,level_3,level_4
4999-20,LOB - Transfer Pricing,Total Variable Operating Expense,Other Ops Variable Expense,Surge Expense,Surge Expense
4730-00,Fed Highway Use Tax,Total Variable Operating Expense,Other Ops Variable Expense,Fuel & Highway Taxes,Fuel & Highway Taxes
4760-00,"Gas,Diesel & Oil Taxes - State",Total Variable Operating Expense,Other Ops Variable Expense,Fuel & Highway Taxes,Fuel & Highway Taxes
4780-00,Fuel & Mileage Taxes,Total Variable Operating Expense,Other Ops Variable Expense,Fuel & Highway Taxes,Fuel & Highway Taxes
4531-00,Tractor Repairs&Maint,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance
4531-01,Warranty Credits,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance
4536-00,MRP Prep Expense,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance
4537-00,Tractor Damage Expense,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance
4591-00,Tractor Washes,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance
4551-00,Tractor Tires,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Tire Expense
4530-00,Trailer Maintenance.1,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4532-00,Trailer Maintenance.2,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4532-02,Walmart Third Party Maintenance,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4533-00,Reefer Maintenance Expense,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4538-00,Trailer Damage Expense,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4540-00,Container Maintenance Expense,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4550-00,Chassis Maintenance Expense,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4592-00,Trailer Washes,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance
4552-00,Trailer Tire Exp,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Tire Expense
5990-00,Shop Gain/Loss Allocation,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Shop Gain / Loss Allocation
4531-02,Trade Tractor Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Trade Expense
4532-01,Trailer Sales Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Trade Expense
4987-00,Equipment Trade Expense Allocation,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Trade Expense
4531-10,Trc Maintenance New Trl Pickup,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4539-00,Service Vehicles Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4541-00,Outsourced Equip Maint - Tractor,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4541-01,Outsourced Equip Maint - Trailer,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4541-02,MRP Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4541-03,On-Road Trailer Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4542-00,Sublets Applied,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-00,Consumable Supplies,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-01,Parts Freight Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-02,Sales Tax,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-03,PO Variance,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-04,Expendable Supp-Expedited Shipping,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-05,Expendable Supp-Fuel Surcharge,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-06,Expendable Supp-Restocking Fee,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-07,Waste Tire Fees / Taxes,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4545-08,Contra-Sales Tax,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4546-00,Manufactured Goods,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4547-00,Labor Cost Applied,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4552-01,Tire Cassings Exp Offset,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4553-00,Supplier Rebates,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4554-00,Supplier Credits,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4594-00,Shop Supplies,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4594-01,Shop Supplies Expense,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4595-00,Core Charges,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Applied Labor / Other
4501-00,Cost of Sales - Parts,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Cost of Maintenance Sales
4502-00,Cost of Sales - Tires,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Cost of Maintenance Sales
4503-00,Cost of Sales - Sublets,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Cost of Maintenance Sales
4504-00,Cost of Sales - Expendables,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Cost of Maintenance Sales
4505-00,Cost of Sales - Labor,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Cost of Maintenance Sales
4430-01,Worker's Comp Premiums.1,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv
4430-02,Work Comp Premium Exp,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv
4430-03,Workers Comp Alloc Premium.1,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv
4430-04,Driver Wages - W/C,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv
4430-09,Driver Wages - Other,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv
4430-00,Worker's Compensation.1,Total Variable Operating Expense,"Work Comp and Claims, Drv","Work Comp Claims Less Than $250,000 Drv","Work Comp Claims Less Than $250,000 Drv"
4820-00,Excess Insurance Premiums,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4825-00,Liability SE Alloc Premium,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4840-00,Insurance on Bldg & Structures,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4850-00,Insurance Bonds & Filings,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-00,Other Insurance,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-01,Other Insurance-Audit Fees,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-02,Other Insurance-Actuary Fees,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-03,Other Insurance Mgmt Fees,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-04,Ins UW Exp Commissions,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-05,Ins UW Exp Fronting Fees,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-06,Ins UW Exp Premium Taxes,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-07,Ins UW Exp Nonprem Surchg,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-08,UW Exp Commissions - Retail,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-09,Ins UW Exp Referral Fees,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4890-10,Ins UW Exp Misc,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums
4824-00,O/O Insurance - WC,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-01,O/O Insurance - Occ/Acc,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-02,O/O Insurance - SFWC,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-03,O/O Insurance - APD,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-04,O/O Insurance - NTL,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-05,O/O Insurance Passenger Rider,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-06,O/O Insurance - Ceded,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-07,O/O Insurance - Nexus,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-08,O/O Insurance - Ins. Exp. - RR,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-09,O/O Insurance - CRS Policy Ceded,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Mohave O/O Insurance Claims
4824-10,Carrier Insurance- AL,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Carrier Insurance Claims
4824-11,Carrier Insurance - NoT,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Carrier Insurance Claims
4824-12,Carrier Insurance- Cargo,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Carrier Insurance Claims
4824-13,Carrier Insurance- GL,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Carrier Insurance Claims
4821-00,Liability Self Insurance,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K
4821-03,AOE Expense,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K
4821-09, OP1 Auto Liability Expense,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K
4822-00,Collision Self Ins,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K
4821-01,Liability Self Ins - Growth,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Premiums and Allocations
4821-02,Liability Self Insurance Trans,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Premiums and Allocations
5989-00,Auto Liability G/L Allocation,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Premiums and Allocations
4580-00,Cargo Self Ins,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4800-00,Insurance,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4810-00,PL & PD Insurance,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4823-00,Cargo Self Insurance,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4823-01,Cargo Claim - Recovery,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4830-00,"Fire,Theft, & Coll Insurance",Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4891-00,Self Insurance Claims,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4996-00,Insurance GAB Allowance,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance
4100-00,Officers & Supervisor,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4110-00,Officers.1,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4110-01,Officers.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4120-00,Dept & Div Manager,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4120-05,Dept & Div Manager - CSR,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4120-10,Dept & Div Manager - Planner,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4120-55,Dept & Div Manager - Recruitin,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4121-00,Salaries & Wages - Safety,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4130-00,Supervisory & Admin Personnel,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4130-10,Admin - Early Retirement,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4131-00,Salaries & Wages - Sales,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4135-00,Salaries Supervisors,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4139-00,G & A Salaries,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4200-00,Salaries & Wages.,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-00,NDRV Hourly Base Wages,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-01,NDRV Salary Base Wages,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-02,Overtime Wages,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-03,Other Wages,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-05,Shop Warranty / Incentive Bonus,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-06,Broker Commissions,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-07,Non-Driver Sign-on Bonus,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-08,NDRV - Vacation/Sick/Other Pay,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-09,NDRV - Holiday Pay,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-10,Clerical & Admin - Planner,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-11,Salaries to&from Knight,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-17,Non-Driver Wages - Premium Pay,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-20,Severance Pay,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-55,Clerical & Admin - Recruiting,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4210-99,Internal Labor,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4216-00,Wages Maintenance Clerical,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4219-00,Wages G & A Clerical,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4241-00,Wages Mechanics Shop - Hourly,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4241-01,Wages Mechanics Shop - Salary,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4241-02,Wages Mechanics Shop Overtime,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4241-08,Wages Mechanics Shop - PTO,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4246-00,Safety Lane Wages,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4260-00,Wages Welders,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4261-00,Wages Mechanics,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4262-00,Wages Yard,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4263-00,Wages Forklift Operators,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4264-00,Wages for Driver Training,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4280-00,Dedic Wages To Be Allocated,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4281-00,Autohaul Wages To Be Allocated,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4290-00,Other Labor.1,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4310-00,Clerical & Administrative,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4411-01,Social Security (IMSS),Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4411-03,Retirement (Afore),Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4412-00,Mexico PTU Expense,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4413-00,NTTS Leased Employee Expenses,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4490-00,Other Fringes.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4994-00,Salaries GAB Allowance,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages
4132-00,Stock Compensation Expense,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4210-04,Admin Bonus,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4210-07,Non-Driver Sign-on Bonus,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4241-03,Wages Mechanics Shop - Bonus.1,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4241-04,Wages Mechanics Shop - Bonus.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4398-00,Security Costs,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4461-00,Christmas Bonuses - Mexico,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4910-00,Security Expense,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Bonus / Stock Compensation
4411-00,Federal Payroll Taxes.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4411-02,House Tax (Infonavit),Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4415-00,Fed P/R Taxes Supervisor,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4416-00,Fed P/R Taxes Safety,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4419-00,Fed P/R Taxes G & A,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4421-00,State Payroll Taxes.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4425-00,State P/R Taxes Supervisor,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4426-00,State P/R Taxes Safety,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4429-00,State P/R Taxes G & A,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv
4441-00,Group Health Insurance.3,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Group Health Insurance NonDrv
4445-00,Group Insurance Supervisors,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Group Health Insurance NonDrv
4446-00,Group Insurance Safety Lane,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Group Health Insurance NonDrv
4449-00,Group Insurance G & A,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Group Health Insurance NonDrv
4451-00,Pension & Retirement Plans.2,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Pension & Retirement NonDrv
4455-00,Pension Supervisors,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Pension & Retirement NonDrv
4456-00,Pension Safety Lane,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Pension & Retirement NonDrv
4459-00,Pension G & A,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Pension & Retirement NonDrv
4430-05,Work Comp Prem - Fremont,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4430-06,Work Comp Prem - AIG,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4430-07,Work Comp Prem - Kemper 01-02,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4430-08,Work Comp Prem - Kemper 02-03,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4430-11,Work Comp Prem-Ace 2003,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4430-20,Work Comp Prem - Alloc,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4431-01,Worker's Comp Premiums.2,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4431-02,Workers Comp Alloc Premium.2,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4435-00,Worker's Comp Supervisors,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4436-00,Worker's Comp Safety Lane,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4439-00,Worker's Comp G & A,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
5988-00,Workers Comp G/L Allocation,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv
4431-00,Worker's Compensation.2,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv","Work Comp Claims Less Than $250,000 NonDrv","Work Comp Claims Less Than $250,000 NonDrv"
4500-00,Operating Supplies & Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4561-00,Wire Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4561-01,Wire Fees Recovery,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4562-00,Employee Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4563-00,Travel - Drivers,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4564-08,Non-Driver Placement Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4564-11,Educational & Training Expense,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4575-00,Forklift Rental,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4577-00,Citations,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
