acct_nbr,acct_nm,level_1,level_2,level_3,level_4
3302-00,Freight Revenue - LTL,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
4990-00,Revenue GAB Allowance,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3200-00,Fuel Surcharge,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-01,Fuel Surcharge - Singles,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-02,Fuel Surcharge - Mentors,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-03,Fuel Surcharge - Teams,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-04,Accessorials - Fuel Tax,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-05,#NAME?,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-06,FSC - Transmex Backout,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-50,Fuel Surcharge In-Transit,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3203-00,Fuel Surcharge - Adjustments,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
4989-00,FSC Revenue GAB Allowance,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3300-00,Lease Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-01,Lease Payment Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-02,Down Payment Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-03,Excess Mileage Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3400-00,Container Repositioning,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3401-00,Container Storage,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3402-00,Container Interchange,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3404-00,Pallets Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3405-00,Drop Lot Services,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3406-00,Sale of Motor Fuel,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3408-00,Container Rental,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3410-00,Loading & Marking Cotton,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3500-00,Container Storage.,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3501-00,Container Handling,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3503-00,Container Repair - Labor,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3504-00,Container Repair - Material,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3505-00,Administrative Fee Logistics,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3505-01,Admin Fee Logistics - Fibertek,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3506-00,Other Income,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3507-00,Brokerage,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3508-00,Inter-Company Labor,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3509-00,Carrier Fee,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3510-00,Administrative Fee,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3600-00,Premium Revenue - Occ/Acc,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3601-00,Premium Revenue - SFWC,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3602-00,Premium Revenue - APD,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3603-00,Premium Revenue - NTL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3604-00,Claims Handling Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-00,Premium Revenue - AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-01,Premium Revenue - CRS AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-02,Premium Revenue - Trans AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-03,Premium Revenue - Ceded,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-04,Premium Revenue - DLT AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3605-10,Written Premium - AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3606-00,Premium Revenue - WC,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3607-00,Premium Rev - Passenger Rider,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3608-00,Premium Revenue - Ceded.,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3609-00,Premium Revenue - Nexus,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3610-00,Premium Revenue - Carrier AL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3611-00,Premium Revenue - Carrier NTL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3612-00,Premium Revenue - Carrier Cargo,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3613-00,Premium Revenue - Carrier GL,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3700-00,Bad Debt Expense,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3701-00,G/L on Sale of Owned Tractors,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3702-00,Tractor Lease Reserve,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3702-01,Lease Complete Incentive,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3703-00,Trade Reburbishment Expense,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3800-00,Dir Tuition Rev-3rd Pty Acad,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3800-01,Other Program Rev-3rd Pty Acad,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3800-02,Bad Debt Exp-3rd Pty Acad,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3900-00,Other Operating Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3900-01,MRP Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3900-02,Other Operating Revenue - Mentors,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3900-03,Other Operating Revenue - Teams,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3901-00,Equipment Rental,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3902-00,Load/Unload.,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3903-00,Miscellaneous,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3904-00,Drayage.,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3905-00,Bulk Head Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3907-00,Loan Storage Accrued,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3909-00,Break Out,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3910-00,Transload Income,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3916-00,Other Storage,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
