DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4821-00,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K,Liability Self Insurance,"11,300",,"73,712","-56,294","21,113","3,847","52,120","13,973","59,602","48,663","156,232","-22,413","22,235","4,726","110,061",
107,17,67,4822-00,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Liability Claims Less Than $500K,Collision Self Ins,"4,266","1,136","-3,844",341,"6,579","3,577","23,183",614,"10,069","1,775","12,396","1,988","7,687","8,481","2,476","3,974"
107,17,67,4823-00,Total Variable Operating Expense,Insurance and Claims,Claims Expense,Cargo Loss & Damage Insurance,Cargo Self Insurance,,,,,,,"6,282",,"-5,313",,,,"49,203",,,
107,17,67,4825-00,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums,Liability Excess Allocation,,,,,,,,,"68,059",,"64,012","6,868","36,923","44,127","49,734",
107,17,67,4840-00,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums,Insurance on Bldg & Structures,,,,,,,,,774,,801,791,619,620,684,
107,17,67,4890-00,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums,Other Insurance,,,,,,,,,707,,"1,345","1,322","1,377","1,324","1,220",
107,17,67,4987-00,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Trade Expense,Equipment Trade Exp Allocation,,,,,,,,,-133,,"2,485","-2,471","2,769","2,059","-1,677",
107,17,67,4999-00,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:,Corporate Overhead Allocation,"44,759","49,882","56,481","50,337","43,230","41,906","50,415","54,965","32,839","44,142","58,645","58,825","59,132","59,267","55,109",
107,17,67,4999-01,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:,Terminal G&A Allocation,,,,,,,,,220,,455,220,220,178,87,
107,17,67,4999-20,Total Variable Operating Expense,Other Ops Variable Expense,Surge Expense,Surge Expense,LOB - Transfer Pricing,"11,700","11,700","24,800","17,400","14,300","18,500","12,700","8,500","8,400","6,000","4,200","3,500","4,600","2,800",100,
107,17,67,5110-03,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities,Cellular/Paging Services,58,155,97,97,97,97,178,97,65,65,65,65,81,145,97,
107,17,67,5111-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Mobile Communications-Tractor,Mobile Communications-Tractor,,,,,,,,,"2,942",,"3,006","3,877","3,389","3,339","3,395",
107,17,67,5111-01,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Mobile Communications-Trailer,Mobile Communications-Trailer,,,,,,,,,1,,0,,5,3,4,
107,17,67,5321-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Depreciation,Depr - Tractor,"79,465","83,580","94,548","85,771","79,352","84,348","78,228","84,904","88,942","86,187","85,771","87,917","86,893","91,320","89,402",
107,17,67,5322-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer & Container Depreciation,Depr - Trailer,,,,,,,,,67,,10,,147,82,110,
107,17,67,5323-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Carrier Mass Depr [Trailer],Depr - Carrier Mass Trailer,,,,,,,,,3,,1,,15,8,10,
107,17,67,5324-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Carrier Mass Depr [Tractor],Depr - Carrier Mass Tractor,,,,,,,,,666,,624,638,620,624,622,
107,17,67,5411-00,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay,Purchased Trans Expense,"26,147","20,379",42,,43,156,"12,216","12,520","25,605","5,354","23,019","22,227","34,974","16,194",,
107,17,67,5411-01,Total Variable Operating Expense,Purchased Transportation,PT Fuel Reimbursements,PT Fuel Reimbursements,Purchased Trans - FSC Reimb,"8,089","5,526",,,,,"3,651","3,829","6,545","1,464","5,926","5,461","8,885","3,730",,
107,17,67,5987-00,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain/Loss Rev Equip Allocation,0,,,,,,,,"-3,788",0,"-4,948","-9,482","-4,777","-10,472","-7,326",
107,17,67,5990-00,Total Variable Operating Expense,Total Equipment Maintenance,Other Maintenance,Shop Gain / Loss Allocation,Shop Gain/Loss Allocation,"10,698","10,119","7,810","4,920","7,451","7,214","2,290",-611,"-3,025","10,801",312,492,"1,720","3,028","1,288",
107,17,67,5993-00,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Corporate Allocations-Hiring,Hiring Allocation,"59,155","18,030","23,799","34,813","25,288","18,130","34,564","42,884","9,781","38,525","27,163","7,901","24,499","16,946","26,052",
107,17,67,5995-00,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:,Owner Operator Corp Allocation,157,33,,,,,66,105,206,68,147,169,253,142,,
107,17,67,5998-00,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:,Dedicated Corp Alloc,"11,286","14,395","14,955","14,044","9,362","12,479","13,698","15,211","14,511","14,217","15,591","13,666","16,625","14,984","16,042",
107,17,67,5998-00,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:,Dedicated Overhead Allocation,,,,,,,,,,240,442,483,912,391,,
107,17,67,,,,,,Company Drive Hours,"6,617","8,492","8,939","8,799","7,726","7,833","7,287","7,051","7,777","7,812","8,639","7,689","9,535","9,545","9,210",
107,17,67,,,,,,Company Driving Gallons,"37,467","48,023","50,586","51,025","41,297","44,085","43,926","41,961","48,280","45,992","50,737","43,584","56,443","55,881","56,720",
107,17,67,,,,,,Company Idle Gallons,"2,209","2,343","2,317","1,720","1,173","1,167","1,046",245,13,1,0,,,,,
107,17,67,,,,,,Company Idle Hours,"3,549","3,741","3,749","2,974","2,142","2,000","2,212","2,506","1,987","2,146","3,050","4,292","4,533","4,959","4,445",
107,17,67,,,,,,Dispatches,530,728,795,811,714,709,698,647,703,729,821,836,885,885,930,
107,17,67,,,,,,Drivers - Company,52,60,58,57,59,57,57,66,64,67,69,66,63,62,64,
107,17,67,,,,,,Drivers - Owner Operator,2,2,,,,,0,1,1,1,1,1,2,1,,
107,17,67,,,,,,Drivers - Trainee,3,2,1,3,4,3,6,5,4,1,2,1,1,2,3,
107,17,67,,,,,,Fuel Gallons,"51,694","57,916","57,685","54,194","48,594","51,325","53,678","49,480","53,062","52,530","67,987","69,203","70,808","68,810","74,653",
107,17,67,,,,,,Liability Excess Allocation,,,,,,,,,"-3,486",,"-3,884","-2,439","-1,738","-1,435","-1,428",
107,17,67,,,,,,Miles - Empty - Mentors,22,"1,156","2,065","2,421","1,428",672,"1,991","1,317",176,590,"1,077","1,621",883,"3,915","1,406",
107,17,67,,,,,,Miles - Empty - Singles,"7,914","16,313","9,625","4,421","6,684","3,700","7,883","9,923","2,523","4,606","1,054","4,075","1,902","5,799","2,365",
107,17,67,,,,,,Miles - Empty - Teams,,,,,,,,,"5,159",,"5,894",211,"1,552",567,"1,447",
107,17,67,,,,,,Miles - Loaded - Mentors,"22,827","42,493","77,035","85,330","75,095","61,101","74,778","57,054","60,492","41,592","108,228","130,062","141,037","156,007","105,118",
107,17,67,,,,,,Miles - Loaded - Singles,"60,635","82,962","103,265","114,848","107,325","121,163","102,341","81,150","94,688","118,379","142,237","176,498","199,521","188,995","225,064",
107,17,67,,,,,,Miles - Loaded - Teams,"284,676","312,044","284,155","262,277","221,515","229,696","217,031","243,770","283,614","264,113","217,295","141,687","138,206","129,974","155,825",
107,17,67,,,,,,Miles - Total Company,"356,774","439,448","476,145","469,297","412,047","416,332","395,936","383,300","428,703","422,147","462,680","438,649","457,982","472,902","491,225",
107,17,67,,,,,,New Hires,4,4,3,12,7,2,6,9,1,7,4,1,1,2,3,
107,17,67,,,,,,Non-Driver-Full Time,5,5,5,5,5,6,6,5,7,7,7,7,7,7,7,
107,17,67,,,,,,Order Length of Haul,"192,351","235,708","252,262","251,671","221,915","225,979","210,548","198,583","241,293","230,548","264,597","249,967","266,836","266,206","279,765",
107,17,67,,,,,,Orders,472,631,678,677,615,615,592,564,629,618,678,658,714,686,698,
107,17,67,,,,,,Qualcomm Miles,"351,209","448,346","471,155","460,476","401,649","412,849","387,034","369,425","421,383","410,780","449,361","385,808","493,360","493,805","490,187",
107,17,67,,,,,,Service Awards - Drivers,94,117,33,219,437,"1,486",-15,129,206,309,75,246,49,85,90,124
107,17,67,,,,,,Surge Tractors,4,4,8,6,5,6,4,3,3,2,1,1,1,1,0,
107,17,67,,,,,,Terminations,4,3,11,6,6,6,9,7,8,3,9,4,6,3,5,
107,17,67,,,,,,Tractors - Company - Mentors,2,3,6,6,5,5,5,5,3,2,6,8,7,8,7,
107,17,67,,,,,,Tractors - Company - Singles,46,48,52,50,47,48,47,47,32,50,32,35,38,37,38,
107,17,67,,,,,,Tractors - Company - Teams,,,,,,,,,17,,14,10,8,8,9,
107,17,67,,,,,,Tractors - O/O - Mentors,,,,,,,0,1,1,1,1,1,1,1,,
107,17,67,,,,,,Tractors - O/O - Singles,,,,,,,,0,0,0,0,0,0,0,,
107,17,67,,,,,,Tractors - O/O - Teams,1,1,,,,,,,,,,,,,,
107,17,67,,,,,,Tractors - Unmanned,6,9,10,12,9,14,14,7,13,11,9,5,5,8,8,
107,17,67,,,,,,Trailer Hours - Container,,250,,,,,,,,,,,,,,
107,17,67,,,,,,Trailer Hours - Dry Van,567,"2,796","3,356","2,085",758,1,593,,,559,61,,914,501,628,
107,17,67,,,,,,Trailer Hours Chassis,,,16,,,,,,,,,,,,,
107,17,67,,,,,,Trailer Hours- Refrigerated,,17,463,308,85,395,846,671,156,,,,,,,
107,17,67,,,,,,Trailer Miles -Containers,,44,,,,,,,,,,,,,,
107,17,67,,,,,,Trailer Miles -Dry Vans,"1,606","3,217","1,503",667,83,232,"4,091",626,1,"1,204",339,"1,510","3,552","1,382",735,
107,17,67,,,,,,Trailer Miles Chassis,162,315,89,2,1,,112,169,,,56,56,583,151,709,
107,17,67,,,,,,Trailer Miles- Refrigerated,,112,"2,603",752,869,"4,110","4,667",57,,,,,,,,
107,17,67,,,,,,Transfers-In,19,4,5,9,4,4,5,12,,12,7,,4,4,4,
107,17,67,,,,,,Transfers-Out,-4,-4,-3,-11,-5,-2,,-7,-1,-6,-5,-2,,-3,,
