DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4210-17,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Salaries & Wages,Non-Driver Wages,Non-Driver Wages - Premium Pay,274,125,53,215,"2,160",611,672,"2,826","1,371",566,943,223,,480,168,-30
107,17,67,4220-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly,Driver Wages,-205,"1,864",-541,"5,776","2,768","5,357","3,309","3,290",410,"6,549","4,109","3,771",847,"2,282",916,127
107,17,67,4220-01,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly,Driver Wages - Mileage Pay,"195,736","209,900","227,999","215,810","183,086","192,135","175,472","176,903","200,191","195,223","214,380","181,212","181,797","190,507","202,467","-14,260"
107,17,67,4220-02,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly,Driver Wages - Hourly Pay,"155,294","124,108","55,313","183,666","111,135","139,566","133,963","126,902","141,540","133,376","136,838","157,565","150,051","149,253","148,229","-9,604"
107,17,67,4220-03,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Trainee Pay,Driver Wages - Trainee Pay,"8,698","9,163","16,530","23,990","19,062","13,707","21,274","16,996","11,898","9,054","21,656","26,085","27,409","30,482","27,639",-817
107,17,67,4220-03,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Trainee Pay,Driver Wages-Trainee Pay,,,,,,,"1,273","1,394","2,933","1,420","1,841","2,850","5,469","1,966",,
107,17,67,4220-05,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Vacation Pay,"2,341","5,563","3,161","6,717","4,621","7,217","4,645","5,454","5,965","3,869","6,468","8,246","6,435","5,830","5,812",
107,17,67,4220-06,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Unloading Pay,,400,770,435,540,445,90,270,59,256,480,290,15,75,60,0
107,17,67,4220-07,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Wait Pay,,8,116,120,108,32,92,28,,,,,,,,
107,17,67,4220-08,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Exception Pay,442,635,"1,334","3,273",860,"2,515",614,700,,930,275,738,420,483,255,-10
107,17,67,4220-09,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Breakdown Pay,,,"1,100",75,,775,150,525,,750,425,"1,125",175,600,,
107,17,67,4220-10,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Short Haul Pay,,,,,,50,,,,,,,,,,
